date,description,amount,type,balance
2025-11-01,NEFT CR/UTIB0001234/FLEXILOANS TECHNOLOGIES PVT LTD/SAL/NOV2025/REF0100000001,105057.71,credit,980057.71
2025-11-02,POS DEBIT/SHOPPERS STOP LIMITED/MUMBAI MH/REF0100000039,995.67,debit,979062.04
2025-11-03,UPI/DR/zomato@icici/ZOMATO LIMITED/REF0100000021,181.91,debit,978880.13
2025-11-03,POS DEBIT/LENSKART SOLUTIONS/BENGALURU KA/REF0100000032,425.42,debit,978454.71
2025-11-05,NACH DR/HDFC0001234/HDFC BANK LIMITED/HOME LOAN EMI NOV2025/MANDATE0001234/REF0100000007,32450.00,debit,946004.71
2025-11-06,UPI/DR/uber@indus/UBER INDIA SYSTEMS PVT LTD/REF0100000025,1030.32,debit,944974.39
2025-11-07,UPI/DR/swiggy@ibl/SWIGGY ONLINE ORDERING PVT LTD/REF0100000022,1999.46,debit,942974.93
2025-11-07,POS DEBIT/STARBUCKS COFFEE INDIA/MUMBAI MH/REF0100000026,429.56,debit,942545.37
2025-11-07,POS DEBIT/CROMA RETAIL INFINITI/MUMBAI MH/REF0100000040,3077.18,debit,939468.19
2025-11-08,UPI/DR/rapido@yesbank/ROPPEN TRANSPORTATION SERVICES/REF0100000036,1003.22,debit,938464.97
2025-11-09,UPI/DR/ola@hdfcbank/ANI TECHNOLOGIES PVT LTD/REF0100000033,636.28,debit,937828.69
2025-11-10,ECS DR/KKBK0001234/BAJAJ FINANCE LIMITED/PERSONAL LOAN EMI NOV2025/MANDATE0005678/REF0100000013,14812.00,debit,923016.69
2025-11-11,UPI/DR/paytmmall@paytm/PAYTM E-COMMERCE PVT LTD/REF0100000041,1433.06,debit,921583.63
2025-11-12,UPI/DR/myntra@hdfcbank/MYNTRA DESIGNS PVT LTD/REF0100000034,2480.23,debit,919103.40
2025-11-13,UPI/DR/ola@hdfcbank/ANI TECHNOLOGIES PVT LTD/REF0100000027,2144.74,debit,916958.66
2025-11-13,UPI/DR/bookmyshow@kotak/BIGTREE ENTERTAINMENT PVT LTD/REF0100000029,2916.56,debit,914042.10
2025-11-14,POS DEBIT/SHOPPERS STOP LIMITED/MUMBAI MH/REF0100000044,1318.03,debit,912724.07
2025-11-15,NACH DR/HDFC0001234/BEST ELECTRIC SUPPLY UNDERTAKING/ELECT BILL NOV2025/REF0100000155,3637.43,debit,909086.64
2025-11-19,UPI/DR/swiggy@ibl/SWIGGY ONLINE ORDERING PVT LTD/REF0100000024,2675.12,debit,906411.52
2025-11-19,ATM NWD/HDFC0001234/HDFC BANK ATM ANDHERI WEST MUMBAI/REF0100000167,6000.00,debit,900411.52
2025-11-20,POS DEBIT/STARBUCKS COFFEE INDIA/MUMBAI MH/REF0100000030,2054.54,debit,898356.98
2025-11-20,UPI/DR/airtel@icici/BHARTI AIRTEL LIMITED/REF0100000156,799.00,debit,897557.98
2025-11-21,UPI/DR/nykaa@yesbank/NYKAA E-RETAIL PVT LTD/REF0100000037,2421.38,debit,895136.60
2025-11-21,UPI/DR/myntra@hdfcbank/MYNTRA DESIGNS PVT LTD/REF0100000042,557.54,debit,894579.06
2025-11-22,UPI/DR/dunzo@kotak/DUNZO DIGITAL PVT LTD/REF0100000035,1906.76,debit,892672.30
2025-11-23,UPI/DR/meesho@axis/FASHNEAR TECHNOLOGIES PVT LTD/REF0100000023,833.91,debit,891838.39
2025-11-23,UPI/DR/nykaa@yesbank/NYKAA E-RETAIL PVT LTD/REF0100000031,2723.89,debit,889114.50
2025-11-24,UPI/DR/myntra@hdfcbank/MYNTRA DESIGNS PVT LTD/REF0100000043,2634.79,debit,886479.71
2025-11-26,UPI/DR/phoneperecharge@ybl/PHONEPE PRIVATE LIMITED/REF0100000028,1913.90,debit,884565.81
2025-11-26,NEFT DR/HDFC0001234/0001234567/RAJESH KUMAR/RENT NOV2025/REF987600,35000.00,debit,849565.81
2025-11-27,POS DEBIT/DMART AVENUE SUPERMARTS/MUMBAI MH/REF0100000038,863.34,debit,848702.47
2025-12-01,NEFT CR/UTIB0001234/FLEXILOANS TECHNOLOGIES PVT LTD/SAL/DEC2025/REF0100000002,102600.04,credit,951302.51
2025-12-01,POS DEBIT/MAKEMYTRIP INDIA PVT/GURGAON HR/REF0100000051,980.79,debit,950321.72
2025-12-01,UPI/DR/zomato@icici/ZOMATO LIMITED/REF0100000065,862.98,debit,949458.74
2025-12-04,UPI/DR/myntra@hdfcbank/MYNTRA DESIGNS PVT LTD/REF0100000049,2708.61,debit,946750.13
2025-12-05,NACH DR/HDFC0001234/HDFC BANK LIMITED/HOME LOAN EMI DEC2025/MANDATE0001234/REF0100000008,32450.00,debit,914300.13
2025-12-05,UPI/DR/meesho@axis/FASHNEAR TECHNOLOGIES PVT LTD/REF0100000046,2119.72,debit,912180.41
2025-12-06,ECS RTN/MANDATE0005678/BAJAJ FINANCE LIMITED/INSUFF FUNDS/NOV2025/REF0100000019,590.00,debit,911590.41
2025-12-06,ATM NWD/HDFC0001234/HDFC BANK ATM ANDHERI WEST MUMBAI/REF0100000168,6000.00,debit,905590.41
2025-12-10,ECS DR/KKBK0001234/BAJAJ FINANCE LIMITED/PERSONAL LOAN EMI DEC2025/MANDATE0005678/REF0100000014,14812.00,debit,890778.41
2025-12-10,NEFT CR/ICIC0005678/PARAS WIRES PVT LTD/INV2025120010/REF0100000181,1000000.00,credit,1890778.41
2025-12-11,UPI/DR/meesho@axis/FASHNEAR TECHNOLOGIES PVT LTD/REF0100000050,620.90,debit,1890157.51
